"name","CountryCode","id","lat","lon","1961 cotton_total","1962 cotton_total","1963 cotton_total","1964 cotton_total","1965 cotton_total","1966 cotton_total","1967 cotton_total","1968 cotton_total","1969 cotton_total","1970 cotton_total","1971 cotton_total","1972 cotton_total","1973 cotton_total","1974 cotton_total","1975 cotton_total","1976 cotton_total","1977 cotton_total","1978 cotton_total","1979 cotton_total","1980 cotton_total","1981 cotton_total","1982 cotton_total","1983 cotton_total","1984 cotton_total","1985 cotton_total","1986 cotton_total","1987 cotton_total","1988 cotton_total","1989 cotton_total","1990 cotton_total","1991 cotton_total","1992 cotton_total","1993 cotton_total","1994 cotton_total","1995 cotton_total","1996 cotton_total","1997 cotton_total","1998 cotton_total","1999 cotton_total","2000 cotton_total","2001 cotton_total","2002 cotton_total","2003 cotton_total","2004 cotton_total","2005 cotton_total","2006 cotton_total","2007 cotton_total","2008 cotton_total","2009 cotton_total","2010 cotton_total","2011 cotton_total","2012 cotton_total",,,"1961 cotton_pc","1962 cotton_pc","1963 cotton_pc","1964 cotton_pc","1965 cotton_pc","1966 cotton_pc","1967 cotton_pc","1968 cotton_pc","1969 cotton_pc","1970 cotton_pc","1971 cotton_pc","1972 cotton_pc","1973 cotton_pc","1974 cotton_pc","1975 cotton_pc","1976 cotton_pc","1977 cotton_pc","1978 cotton_pc","1979 cotton_pc","1980 cotton_pc","1981 cotton_pc","1982 cotton_pc","1983 cotton_pc","1984 cotton_pc","1985 cotton_pc","1986 cotton_pc","1987 cotton_pc","1988 cotton_pc","1989 cotton_pc","1990 cotton_pc","1991 cotton_pc","1992 cotton_pc","1993 cotton_pc","1994 cotton_pc","1995 cotton_pc","1996 cotton_pc","1997 cotton_pc","1998 cotton_pc","1999 cotton_pc","2000 cotton_pc","2001 cotton_pc","2002 cotton_pc","2003 cotton_pc","2004 cotton_pc","2005 cotton_pc","2006 cotton_pc","2007 cotton_pc","2008 cotton_pc","2009 cotton_pc","2010 cotton_pc","2011 cotton_pc","2012 cotton_pc",,,"1961 green_total","1962 green_total","1963 green_total","1964 green_total","1965 green_total","1966 green_total","1967 green_total","1968 green_total","1969 green_total","1970 green_total","1971 green_total","1972 green_total","1973 green_total","1974 green_total","1975 green_total","1976 green_total","1977 green_total","1978 green_total","1979 green_total","1980 green_total","1981 green_total","1982 green_total","1983 green_total","1984 green_total","1985 green_total","1986 green_total","1987 green_total","1988 green_total","1989 green_total","1990 green_total","1991 green_total","1992 green_total","1993 green_total","1994 green_total","1995 green_total","1996 green_total","1997 green_total","1998 green_total","1999 green_total","2000 green_total","2001 green_total","2002 green_total","2003 green_total","2004 green_total","2005 green_total","2006 green_total","2007 green_total","2008 green_total","2009 green_total","2010 green_total","2011 green_total","2012 green_total",,,,"1961 blue_total","1962 blue_total","1963 blue_total","1964 blue_total","1965 blue_total","1966 blue_total","1967 blue_total","1968 blue_total","1969 blue_total","1970 blue_total","1971 blue_total","1972 blue_total","1973 blue_total","1974 blue_total","1975 blue_total","1976 blue_total","1977 blue_total","1978 blue_total","1979 blue_total","1980 blue_total","1981 blue_total","1982 blue_total","1983 blue_total","1984 blue_total","1985 blue_total","1986 blue_total","1987 blue_total","1988 blue_total","1989 blue_total","1990 blue_total","1991 blue_total","1992 blue_total","1993 blue_total","1994 blue_total","1995 blue_total","1996 blue_total","1997 blue_total","1998 blue_total","1999 blue_total","2000 blue_total","2001 blue_total","2002 blue_total","2003 blue_total","2004 blue_total","2005 blue_total","2006 blue_total","2007 blue_total","2008 blue_total","2009 blue_total","2010 blue_total","2011 blue_total","2012 blue_total",,,,"1961 green_pc","1962 green_pc","1963 green_pc","1964 green_pc","1965 green_pc","1966 green_pc","1967 green_pc","1968 green_pc","1969 green_pc","1970 green_pc","1971 green_pc","1972 green_pc","1973 green_pc","1974 green_pc","1975 green_pc","1976 green_pc","1977 green_pc","1978 green_pc","1979 green_pc","1980 green_pc","1981 green_pc","1982 green_pc","1983 green_pc","1984 green_pc","1985 green_pc","1986 green_pc","1987 green_pc","1988 green_pc","1989 green_pc","1990 green_pc","1991 green_pc","1992 green_pc","1993 green_pc","1994 green_pc","1995 green_pc","1996 green_pc","1997 green_pc","1998 green_pc","1999 green_pc","2000 green_pc","2001 green_pc","2002 green_pc","2003 green_pc","2004 green_pc","2005 green_pc","2006 green_pc","2007 green_pc","2008 green_pc","2009 green_pc","2010 green_pc","2011 green_pc","2012 green_pc",,,,"1961 blue_pc","1962 blue_pc","1963 blue_pc","1964 blue_pc","1965 blue_pc","1966 blue_pc","1967 blue_pc","1968 blue_pc","1969 blue_pc","1970 blue_pc","1971 blue_pc","1972 blue_pc","1973 blue_pc","1974 blue_pc","1975 blue_pc","1976 blue_pc","1977 blue_pc","1978 blue_pc","1979 blue_pc","1980 blue_pc","1981 blue_pc","1982 blue_pc","1983 blue_pc","1984 blue_pc","1985 blue_pc","1986 blue_pc","1987 blue_pc","1988 blue_pc","1989 blue_pc","1990 blue_pc","1991 blue_pc","1992 blue_pc","1993 blue_pc","1994 blue_pc","1995 blue_pc","1996 blue_pc","1997 blue_pc","1998 blue_pc","1999 blue_pc","2000 blue_pc","2001 blue_pc","2002 blue_pc","2003 blue_pc","2004 blue_pc","2005 blue_pc","2006 blue_pc","2007 blue_pc","2008 blue_pc","2009 blue_pc","2010 blue_pc","2011 blue_pc","2012 blue_pc",,,,"1961 water_pc","1962 water_pc","1963 water_pc","1964 water_pc","1965 water_pc","1966 water_pc","1967 water_pc","1968 water_pc","1969 water_pc","1970 water_pc","1971 water_pc","1972 water_pc","1973 water_pc","1974 water_pc","1975 water_pc","1976 water_pc","1977 water_pc","1978 water_pc","1979 water_pc","1980 water_pc","1981 water_pc","1982 water_pc","1983 water_pc","1984 water_pc","1985 water_pc","1986 water_pc","1987 water_pc","1988 water_pc","1989 water_pc","1990 water_pc","1991 water_pc","1992 water_pc","1993 water_pc","1994 water_pc","1995 water_pc","1996 water_pc","1997 water_pc","1998 water_pc","1999 water_pc","2000 water_pc","2001 water_pc","2002 water_pc","2003 water_pc","2004 water_pc","2005 water_pc","2006 water_pc","2007 water_pc","2008 water_pc","2009 water_pc","2010 water_pc","2011 water_pc","2012 water_pc"
"Afghanistan",2,4,33,65,51000,78000,110000,78000,75000,61000,69290,71000,86000,76000,63000,58000,108000,145000,160000,159000,136500,132000,105000,65000,60000,45000,50000,68000,54000,60000,39000,44000,35000,28000,66000,66000,66000,66000,66000,66000,66000,66000,66000,55500,55500,55500,32340,27440,32340,31360,34349.98,34300,42014.56,32340,32340,34300,,,5.696,8.532,11.777,8.17,7.68,6.106,6.779,6.784,8.016,6.899,5.564,4.981,9.026,11.814,12.747,12.415,10.473,10,7.92,4.932,4.628,3.562,4.084,5.736,4.684,5.328,3.525,3.995,3.121,2.387,5.233,4.778,4.349,4.004,3.753,3.584,3.47,3.385,3.302,2.695,2.6,2.5,1.399,1.142,1.301,1.224,1.304,1.269,1.516,1.139,1.111,1.15,,,21932.894,33544.425,47334.654,33544.425,32254.255,26205.048,29801.472,30562.441,37013.292,32655.899,27093.574,24914.878,46446.127,62329.814,68780.665,68379.021,58702.744,56767.489,45155.957,27982.1,25803.404,19352.553,21531.249,29272.271,23223.064,24098.646,16772.213,19206.623,15080.398,12013.176,28383.745,28383.745,28383.745,28383.745,28383.745,28383.745,28383.745,28383.745,28383.745,23868.149,23868.149,23868.149,14001.797,11880.312,14001.797,13577.5,14872.029,14850.39,18190.455,14001.797,14001.797,14850.39,,,,340388.429,520594.067,734612.072,520594.067,500571.219,406690.307,462505.158,474315.038,574429.282,506804.55,420479.824,386667.458,720822.555,967330.072,1067444.315,1061210.983,911039.618,881005.345,700799.706,434269.34,400456.975,300342.731,334155.097,454292.189,360411.277,373999.914,260297.034,298077.958,234040.853,186438.971,440502.672,440502.672,440502.672,440502.672,440502.672,440502.672,440502.672,440502.672,440502.672,370422.702,370422.702,370422.702,217301.448,184376.986,217301.448,210716.555,230807.062,230471.232,282307.505,217301.448,217301.448,230471.232,,,,2.45,3.669,5.068,3.514,3.303,2.623,2.915,2.92,3.45,2.964,2.393,2.14,3.882,5.078,5.48,5.339,4.504,4.301,3.406,2.123,1.99,1.532,1.759,2.469,2.014,2.14,1.516,1.744,1.345,1.024,2.251,2.055,1.87,1.722,1.614,1.541,1.492,1.456,1.42,1.159,1.118,1.075,0.606,0.495,0.563,0.53,0.564,0.549,0.657,0.493,0.481,0.498,,,,38.015,56.945,78.652,54.53,51.262,40.71,45.246,45.32,53.54,46.006,37.135,33.207,60.239,78.811,85.042,82.862,69.897,66.743,52.863,32.949,30.89,23.773,27.296,38.324,31.261,33.209,23.529,27.066,20.869,15.893,34.927,31.893,29.028,26.721,25.048,23.921,23.159,22.593,22.039,17.986,17.352,16.683,9.4,7.676,8.741,8.221,8.76,8.526,10.189,7.652,7.466,7.727,,,,6497,6497,6368,6239,6110,5981,5852,5719,5586,5453,5320,5187,5082.6,4978.2,4873.8,4769.4,4665,4687.6,4710.2,4732.8,4755.4,4778,4894.8,5011.6,5128.4,5245.2,5362,5134,4906,4678,4450,4222,3991,3760,3529,3298,3067,2983.8,2900.6,2817.4,2734.2,2651,2569,2487,2405,2323,2241,2184,2127,2070,2013,1956
"Albania",3,8,41,20,17466,17609,21905,21911,24560,24630,21870,12600,15060,15200,13500,16500,19800,20000,20300,20800,21800,22400,23000,15800,20600,20800,15800,19800,25700,24750,22750,13850,16800,11800,950,987,190,187,280,460,760,810,798,902,793,632,920,905,919,926,850,656,860,800,776,770,,,10.465,10.244,12.369,12.026,13.106,12.788,11.051,6.204,7.223,7.106,6.15,7.33,8.575,8.45,8.364,8.367,8.559,8.589,8.611,5.777,7.36,7.263,5.392,6.598,8.35,7.827,6.996,4.152,4.935,3.423,0.275,0.286,0.056,0.055,0.083,0.138,0.228,0.244,0.241,0.273,0.241,0.194,0.284,0.281,0.288,0.291,0.268,0.208,0.273,0.254,0.246,0.244,,,69338.506,69545.771,86778.215,86786.911,104933.915,105204.693,93415.617,53819.697,63988.712,64360.949,57663.961,70478.174,84573.809,85710.29,86991.711,89409.613,92552.219,95115.062,101064.3,68616.99,89119.731,89409.613,66923.792,83727.21,111750.493,107410.459,98585.451,60287.751,73452.793,50966.972,3916.734,4182.012,783.347,795.931,1167.773,1936.626,3218.047,3375.178,3340.853,3779.435,3545.256,2609.224,3873.252,3978.501,4117.316,3966.609,3348.494,2559.35,3109.009,3106.704,3071.918,3063.222,,,,8769.06,8795.272,10974.614,10975.714,13270.718,13304.963,11814.029,6806.437,8092.485,8139.561,7292.611,8913.191,10695.829,10839.557,11001.615,11307.4,11704.838,12028.954,12781.338,8677.812,11270.74,11307.4,8463.677,10588.762,14132.793,13583.921,12467.845,7624.435,9289.383,6445.66,495.339,528.888,99.068,100.659,147.685,244.92,406.978,426.85,422.509,477.975,448.359,329.982,489.84,503.151,520.706,501.647,423.475,323.674,393.188,392.897,388.497,387.398,,,,41.545,40.457,49,47.633,55.995,54.623,47.203,26.499,30.69,30.089,26.271,31.31,36.628,36.211,35.843,35.965,36.338,36.47,37.838,25.088,31.84,31.218,22.841,27.9,36.306,33.969,30.315,18.072,21.578,14.786,1.132,1.213,0.229,0.235,0.348,0.58,0.966,1.015,1.007,1.144,1.079,0.799,1.196,1.237,1.288,1.247,1.058,0.811,0.987,0.986,0.974,0.969,,,,5.254,5.117,6.197,6.024,7.081,6.908,5.97,3.351,3.881,3.805,3.322,3.96,4.632,4.579,4.533,4.548,4.596,4.612,4.785,3.173,4.027,3.948,2.889,3.528,4.592,4.296,3.834,2.286,2.729,1.87,0.143,0.153,0.029,0.03,0.044,0.073,0.122,0.128,0.127,0.145,0.136,0.101,0.151,0.156,0.163,0.158,0.134,0.103,0.125,0.125,0.123,0.123,,,,24343,24343,23695,23047,22399,21751,21103,20602.2,20101.4,19600.6,19099.8,18599,18204.6,17810.2,17415.8,17021.4,16627,16303.8,15980.6,15657.4,15334.2,15011,14685.4,14359.8,14034.2,13708.6,13383,13259.2,13135.4,13011.6,12887.8,12764,12908.4,13052.8,13197.2,13341.6,13486,13487.8,13489.6,13491.4,13493.2,13495,13427,13359,13291,13223,13155,13108.4,13061.8,13015.2,12968.6,12922
"Algeria",4,12,28,3,2610,2550,2550,2625,2935,2044,2215,2453,2405,640,1142,1846,1965,782,943,626,66,100,60,60,61,61,61,61,61,61,61,61,61,60,54,66,65,60,46,58,72,62,60,57,65,56,50,63,65,47,48,39,40,62,70,73.5,,,0.226,0.215,0.21,0.211,0.23,0.156,0.164,0.177,0.168,0.044,0.076,0.119,0.123,0.048,0.056,0.036,0.004,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.002,,,15430.339,15075.619,15075.619,15519.019,17347.836,12103.673,13114.626,14459.189,14222.284,3861.803,6767.136,10909.66,11617.095,4627.096,5571.117,3704.823,390.192,587.295,354.72,354.72,368.444,368.444,368.444,368.444,368.444,368.444,368.444,368.444,368.444,366.438,329.794,403.082,396.975,366.438,280.936,354.224,439.726,378.653,366.438,348.116,396.975,342.009,305.365,384.76,396.975,287.043,293.151,238.185,244.292,378.653,427.511,434.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.335,1.273,1.242,1.247,1.358,0.922,0.972,1.041,0.995,0.263,0.448,0.703,0.729,0.283,0.331,0.214,0.022,0.032,0.019,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.014,0.012,0.015,0.014,0.013,0.01,0.012,0.014,0.012,0.012,0.011,0.012,0.01,0.009,0.011,0.012,0.008,0.008,0.007,0.007,0.01,0.011,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,1041,1018.4,995.9,973.3,950.8,928.2,902.4,876.6,850.9,825.1,799.3,776.2,753.1,729.9,706.8,683.7,663.1,642.5,621.9,601.3,580.7,564.3,547.9,531.6,515.2,498.8,486.9,475,463.2,451.3,439.4,431.3,423.3,415.2,407.2,399.1,393.5,387.9,382.4,376.8,371.2,365.8,360.4,355,349.6,344.2,339.3,334.4,329.6,324.7,319.8
"American Samoa",5,16,-14.3333,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andorra",6,20,42.5,41791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040,21040,19837.8,18635.6,17433.4,16231.2,15029,14361,13693,13025,12357,11689,11264,10839,10414,9989,9564,9190.8,8817.6,8444.4,8071.2,7698,7420.8,7143.6,6866.4,6589.2,6312,6137.8,5963.6,5789.4,5615.2,5441,5323.8,5206.6,5089.4,4972.2,4855,4798.8,4742.6,4686.4,4630.2,4574,4438.4,4302.8,4167.2,4031.6,3896,3834,3772,3710,3648,3586
"Angola",7,24,-11.202692,17.873887,13008,20568,13725,13611,19509,21555,29496,48075,70254,91200,86103,48148,77700,103000,39000,39000,36000,39000,36000,3000,6000,12000,12000,12000,12000,12000,12000,12000,12000,11900,12204,12964,12455,15222,13196,13612,14779,14832,9955,9855,2689,2650,2168,2532,3077,3000,3000,3000,3000,3000,4200,4200,,,2.572,3.994,2.617,2.549,3.59,3.9,5.248,8.412,12.077,15.385,14.234,7.79,12.288,15.907,5.875,5.728,5.15,5.429,4.866,0.393,0.759,1.465,1.413,1.366,1.324,1.287,1.255,1.225,1.194,1.152,1.146,1.178,1.095,1.296,1.09,1.093,1.155,1.129,0.737,0.708,0.187,0.178,0.141,0.158,0.186,0.175,0.169,0.164,0.159,0.153,0.208,0.202,,,55461.637,87694.876,58518.678,58024.171,83179.664,91903.104,125760.796,204975.26,299538.886,388845.424,371964.232,223021.565,327060.753,436339.687,166282.583,166282.583,153491.615,166282.583,153491.615,12790.968,25581.936,51163.872,51163.872,51163.872,51163.872,51163.872,51163.872,51163.872,51163.872,51019.194,51459.014,52558.566,51822.156,55825.393,52894.219,53496.079,55184.47,55261.15,51205.183,51060.505,13093.126,12284.595,11587.248,12113.875,12902.37,12790.968,12790.968,12790.968,12790.968,12790.968,14527.103,14527.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.967,17.028,11.157,10.866,15.307,16.628,22.377,35.866,51.494,65.595,61.492,36.082,51.726,67.388,25.05,24.421,21.959,23.146,20.745,1.675,3.237,6.247,6.026,5.824,5.645,5.489,5.351,5.222,5.09,4.937,4.83,4.777,4.557,4.754,4.37,4.296,4.314,4.206,3.79,3.667,0.91,0.825,0.751,0.758,0.78,0.747,0.722,0.698,0.676,0.654,0.72,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28755,28755,28273.8,27792.6,27311.4,26830.2,26349,25868.8,25388.6,24908.4,24428.2,23948,23393,22838,22283,21728,21173,20551.6,19930.2,19308.8,18687.4,18066,17548,17030,16512,15994,15476,15071,14666,14261,13856,13451,13074.8,12698.6,12322.4,11946.2,11570,11244,10918,10592,10266,9940,9641,9342,9043,8744,8445,8224,8003,7782,7561,7340
"Anguilla",258,660,18.25,-63.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",8,28,41776,-61.8,393,255,209,125,150,280,246,159,160,190,210,270,347,200,285,248,225,239,150,48,18,12,15,60,237,170,170,155,125,122,100,104,99,90,80,76,73,76,75,79,84.6,89,93,93,93,93,90,93,74,80,84,95,,,7.145,4.554,3.667,2.119,2.5,4.59,3.968,2.524,2.5,2.923,3.182,4.03,5.103,2.899,4.13,3.543,3.214,3.366,2.113,0.686,0.257,0.174,0.221,0.896,3.591,2.615,2.698,2.46,2.016,1.968,1.613,1.651,1.523,1.343,1.176,1.086,1.014,1.027,0.987,1.013,1.071,1.113,1.148,1.134,1.12,1.12,1.071,1.094,0.86,0.92,0.955,1.067,,,1281.901,848.893,697.959,438.118,499.349,976.105,818.932,529.31,543.635,643.505,699.088,898.828,1163.958,687.792,948.763,827.789,749.023,791.23,499.349,159.792,59.922,39.948,49.935,199.739,742.784,554.932,554.932,504.997,405.127,381.944,324.102,341.816,303.178,233.628,255.322,224.412,201.228,224.412,216.684,247.595,271.076,285.283,302.998,302.998,302.998,302.998,299.609,302.998,281.535,288.313,292.832,305.257,,,,195.315,129.34,106.343,66.753,76.083,148.723,124.775,80.647,82.83,98.047,106.516,136.949,177.345,104.794,144.557,126.125,114.124,120.555,76.083,24.346,9.13,6.087,7.608,30.433,113.173,84.551,84.551,76.943,61.727,58.194,49.381,52.08,46.193,35.596,38.902,34.192,30.66,34.192,33.015,37.724,41.302,43.467,46.166,46.166,46.166,46.166,45.65,46.166,42.896,43.928,44.617,46.51,,,,23.307,15.159,12.245,7.426,8.322,16.002,13.209,8.402,8.494,9.9,10.592,13.415,17.117,9.968,13.75,11.826,10.7,11.144,7.033,2.283,0.856,0.579,0.734,2.981,11.254,8.537,8.808,8.016,6.534,6.16,5.227,5.426,4.664,3.487,3.755,3.206,2.795,3.033,2.851,3.174,3.431,3.566,3.741,3.695,3.651,3.651,3.567,3.565,3.274,3.314,3.328,3.43,,,,3.551,2.31,1.866,1.131,1.268,2.438,2.013,1.28,1.294,1.508,1.614,2.044,2.608,1.519,2.095,1.802,1.63,1.698,1.072,0.348,0.13,0.088,0.112,0.454,1.715,1.301,1.342,1.221,0.996,0.939,0.796,0.827,0.711,0.531,0.572,0.488,0.426,0.462,0.434,0.484,0.523,0.543,0.57,0.563,0.556,0.556,0.543,0.543,0.499,0.505,0.507,0.523,,,,928.6,928.6,910.6,892.6,874.7,856.7,838.7,826.2,813.7,801.1,788.6,776.1,769.5,762.8,756.2,749.5,742.9,745,747.2,749.3,751.5,753.6,765.4,777.2,788.9,800.7,812.5,812.5,812.5,812.5,812.5,812.5,794.4,776.4,758.3,740.3,722.2,706.2,690.1,674.1,658,642,634.5,627.1,619.6,612.2,604.7,598,591.4,584.7,578.1,571.4
"Argentina",9,32,-34,-64,343793,304047,370885,279924,405856,328800,244800,210342,330700,416500,252900,259400,368800,364800,485700,398900,460000,634500,503269,421242,233287,419821,315287,505761,463973,327000,274300,748900,513300,810000,753200,611400,388000,630356,1004750,1179874,864400,857840,532500,357000,424000,165800,176000,302000,406400,374773,469960,437765,348700,644450,862898,599750,,,16.403,14.278,17.146,12.745,18.205,14.536,10.671,9.04,14.005,17.369,10.377,10.466,14.626,14.224,18.631,15.062,17.107,23.248,18.168,14.98,8.171,14.482,10.711,16.922,15.292,10.618,8.776,23.615,15.956,24.828,22.772,18.239,11.425,18.325,28.845,33.458,24.219,23.757,14.583,9.674,11.376,4.406,4.635,7.883,10.515,9.612,11.949,11.033,8.712,15.962,21.186,14.597,,,1992839.045,1753860.481,2181891.013,1632162.253,2301783.364,1905820.983,1425669.658,1200473.181,1875038.911,2398546.598,1413319.498,1461165.04,2084965.056,2105102.333,2827291.382,2305212.534,2648682.166,3649064.707,2882503.789,2412866.986,1370066.854,2478350.491,1843679.42,2956007.213,2782386.601,1952324.284,1630355.637,4549166.749,2890805.756,4893191.069,5020499.271,3965738.983,2409869.977,3750534.372,5976964.2,7036485.838,4969887.724,5133153.901,3180210.563,2164616.182,2657963.983,1000499.338,1055372.278,1816091.582,2546879.863,2320404.023,2778537.016,2675953.87,2159945.805,3775572.429,4911566.053,3468798.156,,,,33364.121,29363.141,36529.23,27325.668,38536.468,31907.264,23868.568,20098.328,31391.91,40156.479,23661.802,24462.832,34906.495,35243.633,47334.526,38593.879,44344.249,61092.659,48258.892,40396.231,22937.666,41492.556,30866.89,49489.487,46582.73,32685.822,27295.422,76162.171,48397.884,81921.828,84053.223,66394.421,40346.055,62791.464,100066.363,117804.88,83205.884,85939.287,53243.1,36240.014,44499.646,16750.365,17669.048,30405.014,42639.875,38848.215,46518.28,44800.832,36161.823,63210.652,82229.462,58074.635,,,,95.083,82.36,100.869,74.311,103.247,84.258,62.145,51.591,79.407,100.027,57.992,58.951,82.687,82.08,108.45,87.042,98.501,133.7,104.058,85.806,47.988,85.493,62.636,98.906,91.707,63.395,52.163,143.448,89.86,149.983,151.791,118.306,70.958,109.03,171.589,199.537,139.248,142.157,87.093,58.657,71.311,26.589,27.795,47.406,65.899,59.514,70.645,67.445,53.966,93.515,120.591,84.426,,,,1.592,1.379,1.689,1.244,1.729,1.411,1.04,0.864,1.329,1.675,0.971,0.987,1.384,1.374,1.816,1.457,1.649,2.238,1.742,1.437,0.803,1.431,1.049,1.656,1.535,1.061,0.873,2.402,1.504,2.511,2.541,1.981,1.188,1.825,2.873,3.341,2.331,2.38,1.458,0.982,1.194,0.445,0.465,0.794,1.103,0.996,1.183,1.129,0.904,1.566,2.019,1.413,,,,38221,38221,37672,37123,36574,36025,35476,34947.4,34418.8,33890.2,33361.6,32833,32318.6,31804.2,31289.8,30775.4,30261,29822.4,29383.8,28945.2,28506.6,28068,27660.6,27253.2,26845.8,26438.4,26031,25678.8,25326.6,24974.4,24622.2,24270,23974.4,23678.8,23383.2,23087.6,22792,22556.8,22321.6,22086.4,21851.2,21616,21428.2,21240.4,21052.6,20864.8,20677,20500.8,20324.6,20148.4,19972.2,19796
"Armenia",1,51,40,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.4,900.8,1351.2,1801.6,2252,2297.2,2342.4,2387.6,2432.8,2478,2490,2502,2514,2526,2538,2535.8,2533.6,2531.4,2529.2,2527,2521.4,2515.8,2510.2,2504.6,2499
