name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,2,4,33,65,340388,520594,734612,520594,500571,406690,462505,474315,574429,506805,420480,386667,720823,967330,1067444,1061211,911040,881005,700800,434269,400457,300343,334155,454292,360411,374000,260297,298078,234041,186439,440503,440503,440503,440503,440503,440503,440503,440503,440503,370423,370423,370423,217301,184377,217301,210717,230807,230471,282308,217301,217301,230471
Albania,3,8,41,20,8769,8795,10975,10976,13271,13305,11814,6806,8092,8140,7293,8913,10696,10840,11002,11307,11705,12029,12781,8678,11271,11307,8464,10589,14133,13584,12468,7624,9289,6446,495,529,99,101,148,245,407,427,423,478,448,330,490,503,521,502,423,324,393,393,388,387
Algeria,4,12,28,3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
American Samoa,5,16,-14.3333,-170,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Andorra,6,20,42.5,41791,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Angola,7,24,-11.2026920,17.8738870,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Anguilla,258,660,18.25,-63.1667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Antigua and Barbuda,8,28,41776,-61.8,98,65,53,33,38,74,62,40,41,49,53,68,89,52,72,63,57,60,38,12,5,3,4,15,57,42,42,38,31,29,25,26,23,18,19,17,15,17,17,19,21,22,23,23,23,23,23,23,21,22,22,23
Argentina,9,32,-34,-64,33364,29363,36529,27326,38536,31907,23869,20098,31392,40156,23662,24463,34906,35244,47335,38594,44344,61093,48259,40396,22938,41493,30867,49489,46583,32686,27295,76162,48398,81922,84053,66394,40346,62791,100066,117805,83206,85939,53243,36240,44500,16750,17669,30405,42640,38848,46518,44801,36162,63211,82229,58075
Armenia,1,51,40,45,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
