name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,2,4,33,65,5.7,8.53,11.78,8.17,7.68,6.11,6.78,6.78,8.02,6.9,5.56,4.98,9.03,11.81,12.75,12.42,10.47,10,7.92,4.93,4.63,3.56,4.08,5.74,4.68,5.33,3.53,4,3.12,2.39,5.23,4.78,4.35,4,3.75,3.58,3.47,3.39,3.3,2.69,2.6,2.5,1.4,1.14,1.3,1.22,1.3,1.27,1.52,1.14,1.11,1.15
Albania,3,8,41,20,10.46,10.24,12.37,12.03,13.11,12.79,11.05,6.2,7.22,7.11,6.15,7.33,8.58,8.45,8.36,8.37,8.56,8.59,8.61,5.78,7.36,7.26,5.39,6.6,8.35,7.83,7,4.15,4.94,3.42,0.27,0.29,0.06,0.06,0.08,0.14,0.23,0.24,0.24,0.27,0.24,0.19,0.28,0.28,0.29,0.29,0.27,0.21,0.27,0.25,0.25,0.24
Algeria,4,12,28,3,0.23,0.22,0.21,0.21,0.23,0.16,0.16,0.18,0.17,0.04,0.08,0.12,0.12,0.05,0.06,0.04,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,1.38,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0
American Samoa,5,16,-14.3333,-170,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Andorra,6,20,42.5,41791,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Angola,7,24,-11.2026920,17.8738870,2.57,3.99,2.62,2.55,3.59,3.9,5.25,8.41,12.08,15.38,14.23,7.79,12.29,15.91,5.88,5.73,5.15,5.43,4.87,0.39,0.76,1.47,1.41,1.37,1.32,1.29,1.26,1.22,1.19,1.15,1.15,1.18,1.1,1.3,1.09,1.09,1.16,1.13,0.74,0.71,0.19,0.18,0.14,0.16,0.19,0.18,0.17,0.16,0.16,0.15,0.21,0.2
Anguilla,258,660,18.25,-63.1667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Antigua and Barbuda,8,28,41776,-61.8,7.15,4.55,3.67,2.12,2.5,4.59,3.97,2.52,2.5,2.92,3.18,4.03,5.1,2.9,4.13,3.54,3.21,3.37,2.11,0.69,0.26,0.17,0.22,0.9,3.59,2.62,2.7,2.46,2.02,1.97,1.61,1.65,1.52,1.34,1.18,1.09,1.01,1.03,0.99,1.01,1.07,1.11,1.15,1.13,1.12,1.12,1.07,1.09,0.86,0.92,0.95,1.07
Argentina,9,32,-34,-64,16.4,14.28,17.15,12.74,18.2,14.54,10.67,9.04,14,17.37,10.38,10.47,14.63,14.22,18.63,15.06,17.11,23.25,18.17,14.98,8.17,14.48,10.71,16.92,15.29,10.62,8.78,23.61,15.96,24.83,22.77,18.24,11.42,18.32,28.84,33.46,24.22,23.76,14.58,9.67,11.38,4.41,4.64,7.88,10.52,9.61,11.95,11.03,8.71,15.96,21.19,14.6
Armenia,1,51,40,45,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Aruba,22,533,12.5211100,-69.9667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Australia,10,36,-25.2743980,133.7751360,0.68,0.56,0.45,0.62,2.28,4.54,3.88,7.01,7.04,5.66,3.63,8.15,5.84,5.7,6.24,4.66,5.25,8.09,9.06,14.89,17.47,23.42,16.66,21.32,41.74,40.46,33.81,42.44,42.27,46.69,65.41,74.36,52.85,46.48,46.82,55.4,79.2,85.5,91.45,92.77,100.53,89.11,46.75,41.69,75.89,69.08,32.44,14.81,36.05,41.81,92.91,115.7
Austria,11,40,47.3333,13.3333,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Azerbaijan,52,31,40.5,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.93,34.23,34.27,29.47,27.87,14.77,13.57,11.55,11.28,10.2,9.71,11.89,16.01,22.96,15.69,11.52,6.18,3.52,4.16,7.15,6.06
Bahamas,12,44,24.25,-76,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bahrain,13,48,26,50.55,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
