name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,2,4,33,65,51000,78000,110000,78000,75000,61000,69290,71000,86000,76000,63000,58000,108000,145000,160000,159000,136500,132000,105000,65000,60000,45000,50000,68000,54000,60000,39000,44000,35000,28000,66000,66000,66000,66000,66000,66000,66000,66000,66000,55500,55500,55500,32340,27440,32340,31360,34350,34300,42015,32340,32340,34300
Albania,3,8,41,20,17466,17609,21905,21911,24560,24630,21870,12600,15060,15200,13500,16500,19800,20000,20300,20800,21800,22400,23000,15800,20600,20800,15800,19800,25700,24750,22750,13850,16800,11800,950,987,190,187,280,460,760,810,798,902,793,632,920,905,919,926,850,656,860,800,776,770
Algeria,4,12,28,3,2610,2550,2550,2625,2935,2044,2215,2453,2405,640,1142,1846,1965,782,943,626,66,100,60,60,61,61,61,61,61,61,61,61,61,60,54,40516,65,60,40496,58,72,62,60,57,65,56,50,40360,65,47,48,39,40,62,70,74
American Samoa,5,16,-14.3333,-170,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Andorra,6,20,42.5,41791,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Angola,7,24,-11.2026920,17.8738870,13008,20568,13725,13611,19509,21555,29496,48075,70254,91200,86103,48148,77700,103000,39000,39000,36000,39000,36000,3000,6000,12000,12000,12000,12000,12000,12000,12000,12000,11900,12204,12964,12455,15222,13196,13612,14779,14832,9955,9855,2689,2650,2168,2532,3077,3000,3000,3000,3000,3000,4200,4200
Anguilla,258,660,18.25,-63.1667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Antigua and Barbuda,8,28,41776,-61.8,393,255,209,125,150,280,246,159,160,190,210,270,347,200,285,248,225,239,150,48,18,12,15,60,237,170,170,155,125,122,100,104,99,90,80,76,73,76,75,79,85,89,93,93,93,93,90,93,74,80,84,95
Argentina,9,32,-34,-64,343793,304047,370885,279924,405856,328800,244800,210342,330700,416500,252900,259400,368800,364800,485700,398900,460000,634500,503269,421242,233287,419821,315287,505761,463973,327000,274300,748900,513300,810000,753200,611400,388000,630356,1004750,1179874,864400,857840,532500,357000,424000,165800,176000,302000,406400,374773,469960,437765,348700,644450,862898,599750
Armenia,1,51,40,45,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
