name,CountryCode,id,lat,lon,1961 green,1962 green,1963 green,1964 green,1965 green,1966 green,1967 green,1968 green,1969 green,1970 green,1971 green,1972 green,1973 green,1974 green,1975 green,1976 green,1977 green,1978 green,1979 green,1980 green,1981 green,1982 green,1983 green,1984 green,1985 green,1986 green,1987 green,1988 green,1989 green,1990 green,1991 green,1992 green,1993 green,1994 green,1995 green,1996 green,1997 green,1998 green,1999 green,2000 green,2001 green,2002 green,2003 green,2004 green,2005 green,2006 green,2007 green,2008 green,2009 green,2010 green,2011 green,2012 green,1961 blue,1962 blue,1963 blue,1964 blue,1965 blue,1966 blue,1967 blue,1968 blue,1969 blue,1970 blue,1971 blue,1972 blue,1973 blue,1974 blue,1975 blue,1976 blue,1977 blue,1978 blue,1979 blue,1980 blue,1981 blue,1982 blue,1983 blue,1984 blue,1985 blue,1986 blue,1987 blue,1988 blue,1989 blue,1990 blue,1991 blue,1992 blue,1993 blue,1994 blue,1995 blue,1996 blue,1997 blue,1998 blue,1999 blue,2000 blue,2001 blue,2002 blue,2003 blue,2004 blue,2005 blue,2006 blue,2007 blue,2008 blue,2009 blue,2010 blue,2011 blue,2012 blue
Afghanistan,2,4,33,65,2.45,3.67,5.07,3.51,3.3,2.62,2.92,2.92,3.45,2.96,2.39,2.14,3.88,5.08,5.48,5.34,4.5,4.3,3.41,2.12,1.99,1.53,1.76,2.47,2.01,2.14,1.52,1.74,1.34,1.02,2.25,2.06,1.87,1.72,1.61,1.54,1.49,1.46,1.42,1.16,1.12,1.07,0.61,0.49,0.56,0.53,0.56,0.55,0.66,0.49,0.48,0.5,38.02,56.95,78.65,54.53,51.26,40.71,45.25,45.32,53.54,46.01,37.14,33.21,60.24,78.81,85.04,82.86,69.9,66.74,52.86,32.95,30.89,23.77,27.3,38.32,31.26,33.21,23.53,27.07,20.87,15.89,34.93,31.89,29.03,26.72,25.05,23.92,23.16,22.59,22.04,17.99,17.35,16.68,9.4,7.68,8.74,8.22,8.76,8.53,10.19,7.65,7.47,7.73
Albania,3,8,41,20,41.54,40.46,49,47.63,55.99,54.62,47.2,26.5,30.69,30.09,26.27,31.31,36.63,36.21,35.84,35.97,36.34,36.47,37.84,25.09,31.84,31.22,22.84,27.9,36.31,33.97,30.32,18.07,21.58,14.79,1.13,1.21,0.23,0.24,0.35,0.58,0.97,1.02,1.01,1.14,1.08,0.8,1.2,1.24,1.29,1.25,1.06,0.81,0.99,0.99,0.97,0.97,5.25,5.12,6.2,6.02,7.08,6.91,5.97,3.35,3.88,3.81,3.32,3.96,4.63,4.58,4.53,4.55,4.6,4.61,4.79,3.17,4.03,3.95,2.89,3.53,4.59,4.3,3.83,2.29,2.73,1.87,0.14,0.15,0.03,0.03,0.04,0.07,0.12,0.13,0.13,0.14,0.14,0.1,0.15,0.16,0.16,0.16,0.13,0.1,0.12,0.12,0.12,0.12
Algeria,4,12,28,3,1.33,1.27,1.24,1.25,1.36,0.92,0.97,1.04,1,0.26,0.45,0.7,0.73,0.28,0.33,0.21,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,20.18,0.01,0.01,18.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
American Samoa,5,16,-14.3333,-170,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Andorra,6,20,42.5,41791,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Angola,7,24,-11.2026920,17.8738870,10.97,17.03,11.16,10.87,15.31,16.63,22.38,35.87,51.49,65.59,61.49,36.08,51.73,67.39,25.05,24.42,21.96,23.15,20.74,1.67,3.24,6.25,6.03,5.82,5.64,5.49,5.35,5.22,5.09,4.94,4.83,4.78,4.56,4.75,4.37,4.3,4.31,4.21,3.79,3.67,0.91,0.83,0.75,0.76,0.78,0.75,0.72,0.7,0.68,0.65,0.72,0.7,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Anguilla,258,660,18.25,-63.1667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Antigua and Barbuda,8,28,41776,-61.8,23.31,15.16,12.24,7.43,8.32,16,13.21,8.4,8.49,9.9,10.59,13.42,17.12,9.97,13.75,11.83,10.7,11.14,7.03,2.28,0.86,0.58,0.73,2.98,11.25,8.54,8.81,8.02,6.53,6.16,5.23,5.43,4.66,3.49,3.75,3.21,2.79,3.03,2.85,3.17,3.43,3.57,3.74,3.7,3.65,3.65,3.57,3.56,3.27,3.31,3.33,3.43,1.78,1.15,0.93,0.57,0.63,1.22,1.01,0.64,0.65,0.75,0.81,1.02,1.3,0.76,1.05,0.9,0.82,0.85,0.54,0.17,0.07,0.04,0.06,0.23,0.86,0.65,0.67,0.61,0.5,0.47,0.4,0.41,0.36,0.27,0.29,0.24,0.21,0.23,0.22,0.24,0.26,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.26
Argentina,9,32,-34,-64,95.08,82.36,100.87,74.31,103.25,84.26,62.15,51.59,79.41,100.03,57.99,58.95,82.69,82.08,108.45,87.04,98.5,133.7,104.06,85.81,47.99,85.49,62.64,98.91,91.71,63.4,52.16,143.45,89.86,149.98,151.79,118.31,70.96,109.03,171.59,199.54,139.25,142.16,87.09,58.66,71.31,26.59,27.79,47.41,65.9,59.51,70.64,67.45,53.97,93.51,120.59,84.43,1.59,1.38,1.69,1.24,1.73,1.41,1.04,0.86,1.33,1.67,0.97,0.99,1.38,1.37,1.82,1.46,1.65,2.24,1.74,1.44,0.8,1.43,1.05,1.66,1.54,1.06,0.87,2.4,1.5,2.51,2.54,1.98,1.19,1.83,2.87,3.34,2.33,2.38,1.46,0.98,1.19,0.45,0.47,0.79,1.1,1,1.18,1.13,0.9,1.57,2.02,1.41
Armenia,1,51,40,45,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
