name,CountryCode,id,lat,lon,1961 green,1962 green,1963 green,1964 green,1965 green,1966 green,1967 green,1968 green,1969 green,1970 green,1971 green,1972 green,1973 green,1974 green,1975 green,1976 green,1977 green,1978 green,1979 green,1980 green,1981 green,1982 green,1983 green,1984 green,1985 green,1986 green,1987 green,1988 green,1989 green,1990 green,1991 green,1992 green,1993 green,1994 green,1995 green,1996 green,1997 green,1998 green,1999 green,2000 green,2001 green,2002 green,2003 green,2004 green,2005 green,2006 green,2007 green,2008 green,2009 green,2010 green,2011 green,2012 green,1961 blue,1962 blue,1963 blue,1964 blue,1965 blue,1966 blue,1967 blue,1968 blue,1969 blue,1970 blue,1971 blue,1972 blue,1973 blue,1974 blue,1975 blue,1976 blue,1977 blue,1978 blue,1979 blue,1980 blue,1981 blue,1982 blue,1983 blue,1984 blue,1985 blue,1986 blue,1987 blue,1988 blue,1989 blue,1990 blue,1991 blue,1992 blue,1993 blue,1994 blue,1995 blue,1996 blue,1997 blue,1998 blue,1999 blue,2000 blue,2001 blue,2002 blue,2003 blue,2004 blue,2005 blue,2006 blue,2007 blue,2008 blue,2009 blue,2010 blue,2011 blue,2012 blue
Afghanistan,2,4,33,65,21933,33544,47335,33544,32254,26205,29801,30562,37013,32656,27094,24915,46446,62330,68781,68379,58703,56767,45156,27982,25803,19353,21531,29272,23223,24099,16772,19207,15080,12013,28384,28384,28384,28384,28384,28384,28384,28384,28384,23868,23868,23868,14002,11880,14002,13577,14872,14850,18190,14002,14002,14850,340388,520594,734612,520594,500571,406690,462505,474315,574429,506805,420480,386667,720823,967330,1067444,1061211,911040,881005,700800,434269,400457,300343,334155,454292,360411,374000,260297,298078,234041,186439,440503,440503,440503,440503,440503,440503,440503,440503,440503,370423,370423,370423,217301,184377,217301,210717,230807,230471,282308,217301,217301,230471
Albania,3,8,41,20,69339,69546,86778,86787,104934,105205,93416,53820,63989,64361,57664,70478,84574,85710,86992,89410,92552,95115,101064,68617,89120,89410,66924,83727,111750,107410,98585,60288,73453,50967,3917,4182,783,796,1168,1937,3218,3375,3341,3779,3545,2609,3873,3979,4117,3967,3348,2559,3109,3107,3072,3063,8769,8795,10975,10976,13271,13305,11814,6806,8092,8140,7293,8913,10696,10840,11002,11307,11705,12029,12781,8678,11271,11307,8464,10589,14133,13584,12468,7624,9289,6446,495,529,99,101,148,245,407,427,423,478,448,330,490,503,521,502,423,324,393,393,388,387
Algeria,4,12,28,3,15430,15076,15076,15519,17348,12104,13115,14459,14222,3862,6767,10910,11617,4627,5571,3705,390,587,355,355,368,368,368,368,368,368,368,368,368,366,330,555529,397,366,555407,354,440,379,366,348,397,342,305,553412,397,287,293,238,244,379,428,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,5,16,-14.3333,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,6,20,42.5,41791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,7,24,-11.2026920,17.8738870,55462,87695,58519,58024,83180,91903,125761,204975,299539,388845,371964,223022,327061,436340,166283,166283,153492,166283,153492,12791,25582,51164,51164,51164,51164,51164,51164,51164,51164,51019,51459,52559,51822,55825,52894,53496,55184,55261,51205,51061,13093,12285,11587,12114,12902,12791,12791,12791,12791,12791,14527,14527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,258,660,18.25,-63.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,8,28,41776,-61.8,1282,849,698,438,499,976,819,529,544,644,699,899,1164,688,949,828,749,791,499,160,60,40,50,200,743,555,555,505,405,382,324,342,303,234,255,224,201,224,217,248,271,285,303,303,303,303,300,303,282,288,293,305,98,65,53,33,38,74,62,40,41,49,53,68,89,52,72,63,57,60,38,12,5,3,4,15,57,42,42,38,31,29,25,26,23,18,19,17,15,17,17,19,21,22,23,23,23,23,23,23,21,22,22,23
Argentina,9,32,-34,-64,1992839,1753860,2181891,1632162,2301783,1905821,1425670,1200473,1875039,2398547,1413319,1461165,2084965,2105102,2827291,2305213,2648682,3649065,2882504,2412867,1370067,2478350,1843679,2956007,2782387,1952324,1630356,4549167,2890806,4893191,5020499,3965739,2409870,3750534,5976964,7036486,4969888,5133154,3180211,2164616,2657964,1000499,1055372,1816092,2546880,2320404,2778537,2675954,2159946,3775572,4911566,3468798,33364,29363,36529,27326,38536,31907,23869,20098,31392,40156,23662,24463,34906,35244,47335,38594,44344,61093,48259,40396,22938,41493,30867,49489,46583,32686,27295,76162,48398,81922,84053,66394,40346,62791,100066,117805,83206,85939,53243,36240,44500,16750,17669,30405,42640,38848,46518,44801,36162,63211,82229,58075
Armenia,1,51,40,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
