"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Afghanistan",1962,6497.0,"K",,1967,5852.0,"K",,1972,5187.0,"K",,1977,4665.0,"K",,1982,4778.0,"K",,1987,5362.0,"K",,1992,4222.0,"K",,1997,3067.0,"K",,2002,2651.0,"K",,2007,2241.0,"K",,2012,1956.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Albania",1962,24343.0,"K",,1967,21103.0,"K",,1972,18599.0,"K",,1977,16627.0,"K",,1982,15011.0,"K",,1987,13383.0,"K",,1992,12764.0,"K",,1997,13486.0,"K",,2002,13495.0,"K",,2007,13155.0,"K",,2012,12922.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Algeria",1962,1041.0,"K",,1967,928.2,"K",,1972,799.3,"K",,1977,683.7,"K",,1982,580.7,"K",,1987,498.8,"K",,1992,439.4,"K",,1997,399.1,"K",,2002,371.2,"K",,2007,344.2,"K",,2012,319.8,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Andorra",1962,21040.0,"E",,1967,15029.0,"E",,1972,11689.0,"E",,1977,9564.0,"E",,1982,7698.0,"E",,1987,6312.0,"E",,1992,5441.0,"E",,1997,4855.0,"E",,2002,4574.0,"E",,2007,3896.0,"E",,2012,3586.0,"E",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Angola",1962,28755.0,"K",,1967,26349.0,"K",,1972,23948.0,"K",,1977,21173.0,"K",,1982,18066.0,"K",,1987,15476.0,"K",,1992,13451.0,"K",,1997,11570.0,"K",,2002,9940.0,"K",,2007,8445.0,"K",,2012,7340.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Antigua and Barbuda",1962,928.6,"K",,1967,838.7,"K",,1972,776.1,"K",,1977,742.9,"K",,1982,753.6,"K",,1987,812.5,"K",,1992,812.5,"K",,1997,722.2,"K",,2002,642.0,"K",,2007,604.7,"K",,2012,571.4,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Argentina",1962,38221.0,"K",,1967,35476.0,"K",,1972,32833.0,"K",,1977,30261.0,"K",,1982,28068.0,"K",,1987,26031.0,"K",,1992,24270.0,"K",,1997,22792.0,"K",,2002,21616.0,"K",,2007,20677.0,"K",,2012,19796.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Armenia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,2252.0,"K",,1997,2478.0,"K",,2002,2538.0,"K",,2007,2527.0,"K",,2012,2499.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Australia",1962,45994.0,"K",,1967,41372.0,"K",,1972,37169.0,"K",,1977,34580.0,"K",,1982,32561.0,"K",,1987,30129.0,"K",,1992,28068.0,"K",,1997,26559.0,"K",,2002,25097.0,"K",,2007,23295.0,"K",,2012,21467.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Austria",1962,10907.0,"K",,1967,10564.0,"K",,1972,10324.0,"K",,1977,10256.0,"K",,1982,10301.0,"K",,1987,10244.0,"K",,1992,9990.0,"K",,1997,9747.0,"K",,2002,9613.0,"K",,2007,9350.0,"K",,2012,9218.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Azerbaijan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,4658.0,"K",,1997,4382.0,"K",,2002,4188.0,"K",,2007,3932.0,"K",,2012,3681.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Bahamas",1962,165.3,"K",,1967,130.7,"K",,1972,112.4,"K",,1977,101.5,"K",,1982,90.91,"K",,1987,82.3,"K",,1992,75.19,"K",,1997,69.69,"K",,2002,65.36,"K",,2007,60.79,"K",,2012,56.98,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Bahrain",1962,674.4,"K",,1967,594.9,"K",,1972,508.8,"K",,1977,384.1,"K",,1982,302.1,"K",,1987,260.1,"K",,1992,223.1,"K",,1997,195.6,"K",,2002,180.7,"K",,2007,125.3,"K",,2012,85.36,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Bangladesh",1962,23161.0,"K",,1967,19886.0,"K",,1972,17922.0,"K",,1977,16600.0,"K",,1982,14409.0,"K",,1987,12594.0,"K",,1992,11132.0,"K",,1997,10027.0,"K",,2002,9139.0,"K",,2007,8523.0,"K",,2012,8051.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Barbados",1962,344.8,"K",,1967,339.0,"K",,1972,332.0,"K",,1977,323.9,"K",,1982,318.7,"K",,1987,311.3,"K",,1992,306.5,"K",,1997,301.9,"K",,2002,297.4,"K",,2007,294.1,"K",,2012,290.9,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Belarus",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,5632.0,"K",,1997,5684.0,"K",,2002,5822.0,"K",,2007,5962.0,"K",,2012,6088.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Belgium",1962,1972.0,"K",,1967,1919.0,"K",,1972,1887.0,"K",,1977,1865.0,"K",,1982,1864.0,"K",,1987,1858.0,"K",,1992,1831.0,"K",,1997,1807.0,"K",,2002,1785.0,"K",,2007,1736.0,"K",,2012,1696.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Belize",1962,189286.0,"K",,1967,164159.0,"K",,1972,146063.0,"K",,1977,135401.0,"K",,1982,122039.0,"K",,1987,106000.0,"K",,1992,91832.0,"K",,1997,79957.0,"K",,2002,70532.0,"K",,2007,63311.0,"K",,2012,57253.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Benin",1962,10620.0,"K",,1967,9799.0,"K",,1972,8880.0,"K",,1977,7896.0,"K",,1982,6925.0,"K",,1987,6038.0,"K",,1992,5166.0,"K",,1997,4407.0,"K",,2002,3804.0,"K",,2007,3253.0,"K",,2012,2822.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Bhutan",1962,399160.0,"K",,1967,346715.0,"K",,1972,292308.0,"K",,1977,242967.0,"K",,1982,209251.0,"K",,1987,181298.0,"K",,1992,173993.0,"K",,1997,153409.0,"K",,2002,133663.0,"K",,2007,113208.0,"K",,2012,104000.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Bolivia (Plurinational State of)",1962,177502.0,"K",,1967,158437.0,"K",,1972,140646.0,"K",,1977,124625.0,"K",,1982,111379.0,"K",,1987,100016.0,"K",,1992,89260.0,"K",,1997,79767.0,"K",,2002,71990.0,"K",,2007,65783.0,"K",,2012,60744.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Bosnia and Herzegovina",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,9540.0,"K",,1997,11141.0,"K",,2002,9931.0,"K",,2007,9923.0,"K",,2012,10016.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Botswana",1962,22255.0,"K",,1967,19398.0,"K",,1972,16541.0,"K",,1977,13784.0,"K",,1982,11439.0,"K",,1987,9707.0,"K",,1992,8355.0,"K",,1997,7369.0,"K",,2002,6770.0,"K",,2007,6349.0,"K",,2012,5962.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Brazil",1962,106535.0,"K",,1967,92435.0,"K",,1972,81653.0,"K",,1977,72575.0,"K",,1982,64565.0,"K",,1987,58064.0,"K",,1992,53260.0,"K",,1997,49338.0,"K",,2002,45920.0,"K",,2007,43378.0,"K",,2012,41505.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Brunei Darussalam",1962,97701.0,"K",,1967,77982.0,"K",,1972,62044.0,"K",,1977,50000.0,"K",,1982,42289.0,"K",,1987,36638.0,"K",,1992,31835.0,"K",,1997,27869.0,"K",,2002,24854.0,"K",,2007,22487.0,"K",,2012,20581.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Bulgaria",1962,2660.0,"K",,1967,2559.0,"K",,1972,2479.0,"K",,1977,2425.0,"K",,1982,2389.0,"K",,1987,2382.0,"K",,1992,2462.0,"K",,1997,2598.0,"K",,2002,2699.0,"K",,2007,2788.0,"K",,2012,2879.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Burkina Faso",1962,2484.0,"K",,1967,2281.0,"K",,1972,2068.0,"K",,1977,1858.0,"K",,1982,1651.0,"K",,1987,1452.0,"K",,1992,1270.0,"K",,1997,1106.0,"K",,2002,960.4,"K",,2007,830.0,"K",,2012,715.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Burundi",1962,4118.0,"K",,1967,3753.0,"K",,1972,3506.0,"K",,1977,3284.0,"K",,1982,2853.0,"K",,1987,2427.0,"K",,1992,2149.0,"K",,1997,2029.0,"K",,2002,1884.0,"K",,2007,1627.0,"K",,2012,1433.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Cambodia",1962,83556.0,"K",,1967,73404.0,"K",,1972,66887.0,"K",,1977,70056.0,"K",,1982,69160.0,"K",,1987,55548.0,"K",,1992,46649.0,"K",,1997,40585.0,"K",,2002,37065.0,"K",,2007,34828.0,"K",,2012,32884.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Cameroon",1962,50549.0,"K",,1967,44996.0,"K",,1972,39598.0,"K",,1977,34311.0,"K",,1982,29579.0,"K",,1987,25585.0,"K",,1992,22161.0,"K",,1997,19512.0,"K",,2002,17400.0,"K",,2007,15559.0,"K",,2012,13948.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Canada",1962,155762.0,"K",,1967,141547.0,"K",,1972,129878.0,"K",,1977,122473.0,"K",,1982,116006.0,"K",,1987,109283.0,"K",,1992,102233.0,"K",,1997,97219.0,"K",,2002,92769.0,"K",,2007,88001.0,"K",,2012,83691.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Cape Verde",1962,1357.0,"K",,1967,1186.0,"K",,1972,1027.0,"K",,1977,974.0,"K",,1982,974.0,"K",,1987,892.9,"K",,1992,821.9,"K",,1997,726.4,"K",,2002,662.3,"K",,2007,621.1,"K",,2012,594.1,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Central African Republic",1962,92742.0,"K",,1967,84002.0,"K",,1972,75960.0,"K",,1977,68501.0,"K",,1982,59892.0,"K",,1987,52509.0,"K",,1992,46807.0,"K",,1997,41447.0,"K",,2002,37712.0,"K",,2007,34703.0,"K",,2012,31556.0,"K",,,,"",
